# SHiP BC4 dark-scalar sensitivity
# PUBLISHED SOURCE (cite this): arXiv:2310.17726 (PBC, Post-LS3 Options in
# ECN3), Fig 9-PhysicsPotential/BC4.pdf, red SHiP curve.
# Traced from the identical, cleaner two-colour rendering in
# arXiv:2504.06692 figs/BC4.pdf (SHiP source figure, commented out of the
# published PDF); verified to overlay the 2310.17726 SHiP contour.
# Date: 2026-07-11
# Source y axis is theta^2 (= sin^2 theta at these mixings).
# Clipped to the figure frame m_S in [0.1, 5.5] GeV.
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 627 vertices
2.857944e-01  5.045564e-05
2.861560e-01  4.809247e-05
2.862226e-01  4.737777e-05
2.867325e-01  4.464895e-05
2.869210e-01  4.362175e-05
2.873293e-01  4.124659e-05
2.877239e-01  3.954419e-05
2.883036e-01  3.707138e-05
2.885748e-01  3.590887e-05
2.888004e-01  3.508274e-05
2.901439e-01  3.247152e-05
2.907213e-01  3.157624e-05
2.909559e-01  3.126189e-05
2.914403e-01  3.056869e-05
2.929764e-01  2.857593e-05
2.941117e-01  2.721629e-05
2.953668e-01  2.591214e-05
2.972918e-01  2.408410e-05
2.976877e-01  2.369422e-05
2.979007e-01  2.354337e-05
2.982701e-01  2.323139e-05
3.005737e-01  2.143827e-05
3.017686e-01  2.062209e-05
3.024269e-01  2.020779e-05
3.034499e-01  1.957410e-05
3.061727e-01  1.808765e-05
3.064326e-01  1.795338e-05
3.065014e-01  1.791774e-05
3.066314e-01  1.785809e-05
3.097356e-01  1.643767e-05
3.117334e-01  1.562892e-05
3.131341e-01  1.511842e-05
3.152272e-01  1.440215e-05
3.166963e-01  1.393073e-05
3.177464e-01  1.360638e-05
3.204429e-01  1.286188e-05
3.240532e-01  1.196469e-05
3.243498e-01  1.189865e-05
3.245495e-01  1.184558e-05
3.268657e-01  1.134458e-05
3.284109e-01  1.102475e-05
